province_territory,claim_office_type,total_flag,year_month,year,month,value
Newfoundland and Labrador,Border,False,2015-09,2015,9,0
Nova Scotia,Border,False,2015-09,2015,9,0
New Brunswick,Border,False,2015-09,2015,9,0
Quebec,Border,False,2015-09,2015,9,110
Ontario,Border,False,2015-09,2015,9,295
Manitoba,Border,False,2015-09,2015,9,25
Saskatchewan,Border,False,2015-09,2015,9,0
Alberta,Border,False,2015-09,2015,9,10
British Columbia,Border,False,2015-09,2015,9,30
Yukon,Border,False,2015-09,2015,9,0
,Border - Total,True,2015-09,2015,9,465
Newfoundland and Labrador,Inland,False,2015-09,2015,9,0
Prince Edward Island,Inland,False,2015-09,2015,9,0
Nova Scotia,Inland,False,2015-09,2015,9,2
New Brunswick,Inland,False,2015-09,2015,9,0
Quebec,Inland,False,2015-09,2015,9,200
Ontario,Inland,False,2015-09,2015,9,655
Manitoba,Inland,False,2015-09,2015,9,10
Saskatchewan,Inland,False,2015-09,2015,9,0
Alberta,Inland,False,2015-09,2015,9,90
British Columbia,Inland,False,2015-09,2015,9,50
Yukon,Inland,False,2015-09,2015,9,0
Northwest Territories,Inland,False,2015-09,2015,9,0
Nunavut,Inland,False,2015-09,2015,9,0
Province/Territory of claim not stated,Inland,False,2015-09,2015,9,0
,Inland - Total,True,2015-09,2015,9,1010
,Other Offices,False,2015-09,2015,9,0
,Total ,True,2015-09,2015,9,1650
Newfoundland and Labrador,Airport,False,2015-10,2015,10,0
Nova Scotia,Airport,False,2015-10,2015,10,0
New Brunswick,Airport,False,2015-10,2015,10,0
Quebec,Airport,False,2015-10,2015,10,35
Ontario,Airport,False,2015-10,2015,10,145
Manitoba,Airport,False,2015-10,2015,10,0
Saskatchewan,Airport,False,2015-10,2015,10,0
Alberta,Airport,False,2015-10,2015,10,0
British Columbia,Airport,False,2015-10,2015,10,2
Nunavut,Airport,False,2015-10,2015,10,0
,Airport - Total,True,2015-10,2015,10,180
Newfoundland and Labrador,Border,False,2015-10,2015,10,0
Nova Scotia,Border,False,2015-10,2015,10,0
New Brunswick,Border,False,2015-10,2015,10,0
Quebec,Border,False,2015-10,2015,10,110
Ontario,Border,False,2015-10,2015,10,305
Manitoba,Border,False,2015-10,2015,10,35
Saskatchewan,Border,False,2015-10,2015,10,2
