province_territory,category_1,category_2,total_flag,year,value
New Brunswick,Live-In Caregivers,Live-In Caregiver Program,False,2002,15
New Brunswick,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,
New Brunswick,Live-In Caregivers,,True,2002,15
New Brunswick,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
New Brunswick,Agricultural Workers,Agricultural Stream,False,2002,0
New Brunswick,Agricultural Workers,Other Agricultural Workers,False,2002,0
New Brunswick,Agricultural Workers,,True,2002,0
New Brunswick,Other Temporary Foreign Workers with LMIA,,False,2002,165
New Brunswick,Caregivers,,False,2002,0
New Brunswick,,,True,2002,180
Quebec,Live-In Caregivers,Live-In Caregiver Program,False,2002,915
Quebec,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2002,0
Quebec,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,175
Quebec,Live-In Caregivers,,True,2002,"1,090"
Quebec,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
Quebec,Agricultural Workers,Agricultural Stream,False,2002,0
Quebec,Agricultural Workers,Other Agricultural Workers,False,2002,10
Quebec,Agricultural Workers,,True,2002,10
Quebec,Other Temporary Foreign Workers with LMIA,,False,2002,"2,670"
Quebec,Caregivers,,False,2002,0
Quebec,,,True,2002,"3,770"
Ontario,Live-In Caregivers,Live-In Caregiver Program,False,2002,"4,365"
Ontario,Live-In Caregivers,Emergency Live-In Caregiver Program Work Permit,False,2002,0
Ontario,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2002,
Ontario,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,745
Ontario,Live-In Caregivers,,True,2002,"5,115"
Ontario,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,30
Ontario,Agricultural Workers,Agricultural Stream,False,2002,0
Ontario,Agricultural Workers,Other Agricultural Workers,False,2002,115
Ontario,Agricultural Workers,,True,2002,150
Ontario,Other Temporary Foreign Workers with LMIA,,False,2002,"7,220"
Ontario,Caregivers,,False,2002,0
Ontario,,,True,2002,"12,480"
Manitoba,Live-In Caregivers,Live-In Caregiver Program,False,2002,95
Manitoba,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,15
